town_zh,town_en
里港鄉,LIGANG TOWNSHIP
高樹鄉,GAOSHU TOWNSHIP
鹽埔鄉,YANPU TOWNSHIP
長治鄉,CHANGZHI TOWNSHIP
麟洛鄉,LINLUO TOWNSHIP
竹田鄉,ZHUTIAN TOWNSHIP
內埔鄉,NEIPU TOWNSHIP
萬丹鄉,WANDAN TOWNSHIP
潮州鎮,CHAOZHOU TOWNSHIP
泰武鄉,TAIWU TOWNSHIP
來義鄉,LAIYI TOWNSHIP
萬巒鄉,WANLUAN TOWNSHIP
崁頂鄉,KANDING TOWNSHIP
新埤鄉,XINPI TOWNSHIP
南州鄉,NANZHOU TOWNSHIP
林邊鄉,LINBIAN TOWNSHIP
東港鎮,DONGGANG TOWNSHIP
琉球鄉,LIUQIU TOWNSHIP
佳冬鄉,JIADONG TOWNSHIP
新園鄉,XINYUAN TOWNSHIP
枋寮鄉,FANGLIAO TOWNSHIP
枋山鄉,FANGSHAN TOWNSHIP
春日鄉,CHUNRI TOWNSHIP
獅子鄉,SHIZI TOWNSHIP
車城鄉,CHECHENG TOWNSHIP
牡丹鄉,MUDAN TOWNSHIP
恆春鎮,HENGCHUN TOWNSHIP
滿州鄉,MANZHOU TOWNSHIP
台東市,TAITUNG CITY
延平鄉,YANPING TOWNSHIP
卑南鄉,BEINAN TOWNSHIP
鹿野鄉,LUYE TOWNSHIP
關山鎮,GUANSHAN TOWNSHIP
海端鄉,HAIDUAN TOWNSHIP
池上鄉,CHISHANG TOWNSHIP
東河鄉,DONGHE TOWNSHIP
成功鎮,CHENGGONG TOWNSHIP
長濱鄉,CHANGBIN TOWNSHIP
太麻里鄉,TAIMALI TOWNSHIP
金峰鄉,JINFENG TOWNSHIP
大武鄉,DAWU TOWNSHIP
達仁鄉,DAREN TOWNSHIP
花蓮市,HUALIEN CITY
新城鄉,XINCHENG TOWNSHIP
秀林鄉,XIULIN TOWNSHIP
吉安鄉,JI’AN TOWNSHIP
壽豐鄉,SHOUFENG TOWNSHIP
鳳林鎮,FENGLIN TOWNSHIP
光復鄉,GUANGFU TOWNSHIP
豐濱鄉,FENGBIN TOWNSHIP
瑞穗鄉,RUISUI TOWNSHIP
萬榮鄉,WANRONG TOWNSHIP
玉里鎮,YULI TOWNSHIP
卓溪鄉,ZHUOXI TOWNSHIP
富里鄉,FULI TOWNSHIP
