vil_zh,vil_en
前鎮里,QIANZHEN VIL.
前鎮巷,QIANZHEN LN.
南一巷,S. 1ST LN.
南一橫巷,S. 1ST SIDE LN.
南七巷,S. 7TH LN.
南九甲巷,NANJIUJIA LN.
南九巷,S. 9TH LN.
南二巷,S. 2ND LN.
南二橫巷,S. 2ND SIDE LN.
南八巷,S. 8TH LN.
南十一巷,S. 11TH LN.
南十二巷,S. 12TH LN.
南十巷,S. 10TH LN.
南三巷,S. 3RD LN.
南上里,NANSHANG VIL.
南口村,NANKOU VIL.
南大里,NANDA VIL.
南山村,NANSHAN VIL.
南山里,NANSHAN VIL.
南工巷,NANGONG LN.
南五巷,S. 5TH LN.
南六巷,S. 6TH LN.
南化里,NANHUA VIL.
南屯里,NANTUN VIL.
南方一巷,NANFANG 1ST LN.
南方二巷,NANFANG 2ND LN.
南方三巷,NANFANG 3RD LN.
南片巷,NANPIAN LN.
南王里,NANWANG VIL.
南世一巷,NANSHI 1ST LN.
南世村,NANSHI VIL.
南北巷,NANBEI LN.
南四巷,S. 4TH LN.
南市里,NANSHI VIL.
南平一巷,NANPING 1ST LN.
南平里,NANPING VIL.
南平巷,NANPING LN.
南正里,NANZHENG VIL.
南田村,NANTIAN VIL.
南田里,NANTIAN VIL.
南光村,NANGUANG VIL.
南光里,NANGUANG VIL.
南光巷,NANGUANG LN.
南安村,NAN’AN VIL.
南安里,NAN’AN VIL.
南安巷,NAN’AN LN.
南庄里,NANZHUANG VIL.
南成三巷,NANCHENG 3RD LN.
南成里,NANCHENG VIL.
南汕里,NANSHAN VIL.
南汕巷,NANSHAN LN.
南江村,NANJIANG VIL.
南竹里,NANZHU VIL.
南阡巷,NANQIAN LN.
南佃里,NANDIAN VIL.
南坑村,NANKENG VIL.
南坑巷,NANKENG LN.
南投里,NANTOU VIL.
南村一巷,NANCUN 1ST LN.
南村二巷,NANCUN 2ND LN.
南村里,NANCUN VIL.
南沙魯里,NANSHALU VIL.
南里里,NANLI VIL.
南和村,NANHE VIL.
南和里,NANHE VIL.
南和巷,NANHE LN.
南坪巷,NANPING LN.
南岸巷,NAN’AN LN.
南昌村,NANCHANG VIL.
南昌里,NANCHANG VIL.
南昌巷,NANCHANG LN.
南東里,NANDONG VIL.
南河村,NANHE VIL.
南社里,NANSHE VIL.
南花里,NANHUA VIL.
南芳里,NANFANG VIL.
南門里,NANMEN VIL.
南保里,NANBAO VIL.
南巷,S. LN.
南建里,NANJIAN VIL.
南柳里,NANLIU VIL.
南津里,NANJIN VIL.
南洲里,NANZHOU VIL.
南眉巷,NANMEI LN.
南美里,NANMEI VIL.
南苑二巷,NANYUAN 2ND LN.
南苑三巷,NANYUAN 3RD LN.
南苑巷,NANYUAN LN.
南英巷,NANYING LN.
南埔村,NANPU VIL.
南埔里,NANPU VIL.
南埔巷,NANPU LN.
南崁里,NANKAN VIL.
南海里,NANHAI VIL.
南紙里,NANZHI VIL.
南國八十巷,NANGUO 80TH LN.
南國巷,NANGUO LN.
南崙村,NANLUN VIL.
南強里,NANQIANG VIL.
南部里,NANBU VIL.
南都里,NANDU VIL.
南勝里,NANSHENG VIL.
南富村,NANFU VIL.
南曾村,NANZENG VIL.
南港村,NANGANG VIL.
南港里,NANGANG VIL.
南湖村,NANHU VIL.
南湖里,NANHU VIL.
南華村,NANHUA VIL.
南華里,NANHUA VIL.
南華巷,NANHUA LN.
南進一巷,NANJIN 1ST LN.
南進二巷,NANJIN 2ND LN.
南進巷,NANJIN LN.
南鄉村,NANXIANG VIL.
南陽村,NANYANG VIL.
南陽里,NANYANG VIL.
南陽巷,NANYANG LN.
南雄里,NANXIONG VIL.
南雅村,NANYA VIL.
南雅里,NANYA VIL.
南順巷,NANSHUN LN.
南勢村,NANSHI VIL.
南勢里,NANSHI VIL.
南勢巷,NANSHI LN.
南園里,NANYUAN VIL.
南嵩里,NANSONG VIL.
南新村,NANXINCUN
南新里,NANXIN VIL.
南新巷,NANXIN LN.
南溪里,NANXI VIL.
南聖里,NANSHENG VIL.
南路里,NANLU VIL.
南隘里,NAN’AI VIL.
南靖里,NANJING VIL.
南僑巷,NANQIAO LN.
南寧里,NANNING VIL.
南榮里,NANRONG VIL.
南瑤里,NANYAO VIL.
南福村,NANFU VIL.
南福里,NANFU VIL.
南端里,NANDUAN VIL.
南豪里,NANHAO VIL.
南寮村,NANLIAO VIL.
南寮里,NANLIAO VIL.
南寮巷,NANLIAO LN.
南寮橫巷,NANLIAO SIDE LN.
南蓮里,NANLIAN VIL.
南橋里,NANQIAO VIL.
南橋巷,NANQIAO LN.
南澳村,NAN’AO VIL.
南燕里,NANYAN VIL.
南興村,NANXING VIL.
南興里,NANXING VIL.
南興巷,NANXING LN.
南館村,NANGUAN VIL.
南龍村,NANLONG VIL.
南龍里,NANLONG VIL.
南簡里,NANJIAN VIL.
南豐村,NANFENG VIL.
南鎮村,NANZHEN VIL.
南關里,NANGUAN VIL.
南鶯里,NANYING VIL.
南灣里,NANWAN VIL.
厚生里,HOUSHENG VIL.
厚生巷,HOUSHENG LN.
厚里里,HOULI VIL.
厚義巷,HOUYI LN.
厚德里,HOUDE VIL.
品凱巷,PINKAI LN.
垂楊里,CHUIYANG VIL.
型厝村,XINGCUO VIL.
城中村,CHENGZHONG VIL.
城中里,CHENGZHONG VIL.
城中巷,CHENGZHONG LN.
城內里,CHENGNEI VIL.
城內巷,CHENGNEI LN.
城北村,CHENGBEI VIL.
城北里,CHENGBEI VIL.
城西一巷,CHENGXI 1ST LN.
城西里,CHENGXI VIL.
城西巷,CHENGXI LN.
城東里,CHENGDONG VIL.
城前村,CHENGQIAN VIL.
城南里,CHENGNAN VIL.
城隍里,CHENGHUANG VIL.
城隍巷,CHENGHUANG LN.
奎輝里,KUIHUI VIL.
奏捷里,ZOUJIE VIL.
奕壽里,YISHOU VIL.
威虎巷,WEIHU LN.
客庄里,KEZHUANG VIL.
客庄巷,KEZHUANG LN.
客厝村,KECUO VIL.
客雅里,KEYA VIL.
宣信里,XUANXIN VIL.
屏山里,PINGSHAN VIL.
屏山巷,PINGSHAN LN.
巷口里,XIANGKOU VIL.
巷尾路,XIANGWEI RD.
帝君巷,DIJUN LN.
建山里,JIANSHAN VIL.
建山巷,JIANSHAN LN.
建中巷,JIANZHONG LN.
建仁巷,JIANREN LN.
建功村,JIANGONG VIL.
建功里,JIANGONG VIL.
建功南十七巷,JIANGONG S. 17TH LN.
建功巷,JIANGONG LN.
建北巷,JIANBEI LN.
建平村,JIANPING VIL.
建平里,JIANPING VIL.
建民里,JIANMIN VIL.
建安里,JIAN’AN VIL.
建安巷,JIAN’AN LN.
建成里,JIANCHENG VIL.
建成巷,JIANCHENG LN.
建和里,JIANHE VIL.
建昌里,JIANCHANG VIL.
建昌巷,JIANCHANG LN.
建明里,JIANMING VIL.
建東里,JIANDONG VIL.
建東巷,JIANDONG LN.
建林里,JIANLIN VIL.
建勇巷,JIANYONG LN.
建南里,JIANNAN VIL.
建南巷,JIANNAN LN.
建軍里,JIANJUN VIL.
建倫里,JIANLUN VIL.
建泰里,JIANTAI VIL.
建國一巷,JIANGUO 1ST LN.
建國二巷,JIANGUO 2ND LN.
建國三巷,JIANGUO 3RD LN.
建國里,JIANGUO VIL.
建國巷,JIANGUO LN.
建康巷,JIANKANG LN.
建設巷,JIANSHE LN.
建智巷,JIANZHI LN.
建華里,JIANHUA VIL.
建隆里,JIANLONG VIL.
建業里,JIANYE VIL.
建農里,JIANNONG VIL.
建農巷,JIANNONG LN.
建福里,JIANFU VIL.
建德二巷,JIANDE 2ND LN.
建德里,JIANDE VIL.
建德巷,JIANDE LN.
建興三巷,JIANXING 3RD LN.
建興村,JIANXING VIL.
建興里,JIANXING VIL.
建興巷,JIANXING LN.
建興橫巷,JIANXING SIDE LN.
建豐巷,JIANFENG LN.
建寶里,JIANBAO VIL.
後市里,HOUSHI VIL.
後平巷,HOUPING LN.
後甲里,HOUJIA VIL.
後宅里,HOUZHAI VIL.
後宅巷,HOUZHAI LN.
後安村,HOU’AN VIL.
後安里,HOU’AN VIL.
後庄村,HOUZHUANG VIL.
後庄里,HOUZHUANG VIL.
後庄巷,HOUZHUANG LN.
後坑巷,HOUKENG LN.
後村村,HOUCUN VIL.
後角巷,HOUJIAO LN.
後車巷,HOUCHE LN.
後協里,HOUXIE VIL.
後金里,HOUJIN VIL.
後巷,HOU LN.
後紅里,HOUHONG VIL.
後厝一巷,HOUCUO 1ST LN.
後厝二巷,HOUCUO 2ND LN.
後厝村,HOUCUO VIL.
後厝里,HOUCUO VIL.
後厝巷,HOUCUO LN.
後埔里,HOUPU VIL.
後堀村,HOUJUE VIL.
後荷巷,HOUHE LN.
後部里,HOUBU VIL.
後港里,HOUGANG VIL.
後港巷,HOUGANG LN.
後湖村,HOUHU VIL.
後湖里,HOUHU VIL.
後街里,HOUJIE VIL.
後鄉里,HOUXIANG VIL.
後溝里,HOUGOU VIL.
後溝巷,HOUGOU LN.
後溪里,HOUXI VIL.
後溪巷,HOUXI LN.
後路巷,HOULU LN.
後寮村,HOULIAO VIL.
後寮里,HOULIAO VIL.
後寮巷,HOULIAO LN.
後廟巷,HOUMIAO LN.
後德里,HOUDE VIL.
後潭里,HOUTAN VIL.
後壁里,HOUBI VIL.
後龍里,HOULONG VIL.
後龍巷,HOULONG LN.
後營里,HOUYING VIL.
後鎮村,HOUZHEN VIL.
後驛里,HOUYI VIL.
後灣村,HOUWAN VIL.
思源里,SIYUAN VIL.
思賢里,SIXIAN VIL.
恆山西巷,HENGSHAN W. LN.
恆山南巷,HENGSHAN S. LN.
恆山巷,HENGSHAN LN.
恆吉巷,HENGJI LN.
恆安里,HENG’AN VIL.
恆德里,HENGDE VIL.
拜堂巷,BAITANG LN.
拱北里,GONGBEI VIL.
拱照村,GONGZHAO VIL.
拷潭里,KAOTAN VIL.
指南里,ZHINAN VIL.
政大里,ZHENGDA VIL.
施厝村,SHICUO VIL.
施厝巷,SHICUO LN.
施家村,SHIJIA VIL.
施湖村,SHIHU VIL.
星明里,XINGMING VIL.
春山巷,CHUNSHAN LN.
春日村,CHUNRI VIL.
春日里,CHUNRI VIL.
春安里,CHUN’AN VIL.
春和巷,CHUNHE LN.
春林村,CHUNLIN VIL.
春社西巷,CHUNSHE W. LN.
春社里,CHUNSHE VIL.
春社東巷,CHUNSHE E. LN.
春埔村,CHUNPU VIL.
春珠里,CHUNZHU VIL.
春陽村,CHUNYANG VIL.
春福巷,CHUNFU LN.
昭明里,ZHAOMING VIL.
昭興巷,ZHAOXING LN.
柏園巷,BOYUAN LN.
柏翠里,BOCUI VIL.
某旦巷,MOUDAN LN.
柑子巷,GANZI LN.
柑井里,GANJING VIL.
柑宅巷,GANZHAI LN.
柑坪里,GANPING VIL.
柑林村,GANLIN VIL.
柑林里,GANLIN VIL.
柑園村,GANYUAN VIL.
柑園里,GANYUAN VIL.
柑腳巷,GANJIAO LN.
柯林村,KELIN VIL.
柯厝巷,KECUO LN.
柯湖里,KEHU VIL.
柳川里,LIUCHUAN VIL.
柳林村,LIULIN VIL.
柳鄉村,LIUXIANG VIL.
柳鄉里,LIUXIANG VIL.
柳新村,LIUXINCUN
柳溝村,LIUGOU VIL.
柳鳳村,LIUFENG VIL.
泉州村,QUANZHOU VIL.
泉州巷,QUANZHOU LN.
泉西巷,QUANXI LN.
泉南里,QUANNAN VIL.
泉洲巷,QUANZHOU LN.
泉厝村,QUANCUO VIL.
泉源里,QUANYUAN VIL.
泉興巷,QUANXING LN.
洋厝里,YANGCUO VIL.
洋厝巷,YANGCUO LN.
洛泉里,LUOQUAN VIL.
洛津里,LUOJIN VIL.
洛陽村,LUOYANG VIL.
洞角巷,DONGJIAO LN.
津沙村,JINSHA VIL.
洪厝巷,HONGCUO LN.
洪堀巷,HONGJUE LN.
洲子村,ZHOUZI VIL.
洲仔村,ZHOUZAI VIL.
洲仔巷,ZHOUZAI LN.
洲美里,ZHOUMEI VIL.
洽溪里,QIAXI VIL.
洽興村,QIAXING VIL.
流川巷,LIUCHUAN LN.
流東里,LIUDONG VIL.
流芳里,LIUFANG VIL.
炭寮村,TANLIAO VIL.
炭寮巷,TANLIAO LN.
為隨里,WEISUI VIL.
珊湖里,SHANHU VIL.
珍東巷,ZHENDONG LN.
珍珠村,ZHENZHU VIL.
界山巷,JIESHAN LN.
界樹巷,JIESHU LN.
皇盛巷,HUANGSHENG LN.
相助巷,XIANGZHU LN.
相埔村,XIANGPU VIL.
省躬里,SHENGGONG VIL.
眉山里,MEISHAN VIL.
看西里,KANXI VIL.
看坪里,KANPING VIL.
看東里,KANDONG VIL.
砂子里,SHAZI VIL.
砂崙里,SHALUN VIL.
砂崙巷,SHALUN LN.
砂灣里,SHAWAN VIL.
秋山里,QIUSHAN VIL.
秋尾巷,QIUWEI LN.
科里里,KELI VIL.
科園里,KEYUAN VIL.
科學巷,KEXUE LN.
竿蓁里,GANZHEN VIL.
約禮巷,YUELI LN.
紅山巷,HONGSHAN LN.
紅瓦里,HONGWA VIL.
紅竹巷,HONGZHU LN.
紅厝里,HONGCUO VIL.
紅梅里,HONGMEI VIL.
紅葉村,HONGYE VIL.
紅頭村,HONGTOU VIL.
紅羅村,HONGLUO VIL.
美山里,MEISHAN VIL.
美仁里,MEIREN VIL.
美仁巷,MEIREN LN.
美北村,MEIBEI VIL.
美田里,MEITIAN VIL.
美村巷,MEICUN LN.
美秀巷,MEIXIU LN.
美和村,MEIHE VIL.
美和巷,MEIHE LN.
美信巷,MEIXIN LN.
美南村,MEINAN VIL.
美城村,MEICHENG VIL.
美城里,MEICHENG VIL.
美崙村,MEILUN VIL.
美港村,MEIGANG VIL.
美港橫巷,MEIGANG SIDE LN.
美華里,MEIHUA VIL.
美華巷,MEIHUA LN.
美雅村,MEIYA VIL.
美源里,MEIYUAN VIL.
美溪巷,MEIXI LN.
美農村,MEINONG VIL.
美滿東一巷,MEIMAN E. 1ST LN.
美滿東二巷,MEIMAN E. 2ND LN.
美滿東三巷,MEIMAN E. 3RD LN.
美福村,MEIFU VIL.
美德巷,MEIDE LN.
美潭里,MEITAN VIL.
美豐里,MEIFENG VIL.
胡厝里,HUCUO VIL.
胡厝巷,HUCUO LN.
胡家里,HUJIA VIL.
致富巷,ZHIFU LN.
致遠里,ZHIYUAN VIL.
致興巷,ZHIXING LN.
苑北里,YUANBEI VIL.
苑坑里,YUANKENG VIL.
苑東里,YUANDONG VIL.
苑南里,YUANNAN VIL.
苑港里,YUANGANG VIL.
苓中里,LINGZHONG VIL.
苓中巷,LINGZHONG LN.
苓和里,LINGHE VIL.
苓昇里,LINGSHENG VIL.
苓東里,LINGDONG VIL.
苓洲里,LINGZHOU VIL.
苓洲巷,LINGZHOU LN.
苓雅里,LINGYA VIL.
苗圃巷,MIAOPU LN.
苗豐里,MIAOFENG VIL.
苦苓巷,KULING LN.
苧園四十八巷,ZHUYUAN 48TH LN.
苧園巷,ZHUYUAN LN.
英士村,YINGSHI VIL.
英才巷,YINGCAI LN.
英仁里,YINGREN VIL.
英明里,YINGMING VIL.
英林巷,YINGLIN LN.
英德橫巷,YINGDE SIDE LN.
茂安村,MAO’AN VIL.
茂林里,MAOLIN VIL.
茂林巷,MAOLIN LN.
茂長里,MAOCHANG VIL.
茂興里,MAOXING VIL.
茄明里,JIAMING VIL.
茄南里,JIANAN VIL.
茄苳村,JIADONG VIL.
茄苳里,JIADONG VIL.
茄苳巷,JIADONG LN.
茄荖村,JIALAO VIL.
茄湖里,JIAHU VIL.
茅港里,MAOGANG VIL.
虹橋里,HONGQIAO VIL.
貞觀巷,ZHENGUAN LN.
負責巷,FUZHAI LN.
負郭二巷,FUGUO 2ND LN.
負郭里,FUGUO VIL.
軍友巷,JUNYOU LN.
軍功里,JUNGONG VIL.
軍和巷,JUNHE LN.
重光里,CHONGGUANG VIL.
重光巷,CHONGGUANG LN.
重和里,CHONGHE VIL.
重明里,CHONGMING VIL.
重陽里,CHONGYANG VIL.
重新里,CHONGXIN VIL.
重新巷,CHONGXIN LN.
重溪里,CHONGXI VIL.
重義巷,CHONGYI LN.
重寮村,CHONGLIAO VIL.
重慶里,CHONGQING VIL.
重興村,CHONGXING VIL.
重興里,CHONGXING VIL.
面前里,MIANQIAN VIL.
面前巷,MIANQIAN LN.
風櫃里,FENGGUI VIL.
飛沙村,FEISHA VIL.
飛東村,FEIDONG VIL.
飛鳳村,FEIFENG VIL.
食水巷,SHISHUI LN.
食水嵙巷,SHISHUIKE LN.
食坑巷,SHIKENG LN.
香山里,XIANGSHAN VIL.
香川巷,XIANGCHUAN LN.
香丘里,XIANGQIU VIL.
香丘巷,XIANGQIU LN.
香田里,XIANGTIAN VIL.
香村里,XIANGCUN VIL.
香和村,XIANGHE VIL.
香坡里,XIANGPO VIL.
香林村,XIANGLIN VIL.
香林巷,XIANGLIN LN.
香社村,XIANGSHE VIL.
香社里,XIANGSHE VIL.
香洋里,XIANGYANG VIL.
香茶巷,XIANGCHA LN.
香揚巷,XIANGYANG LN.
香湖里,XIANGHU VIL.
香雅里,XIANGYA VIL.
香楊村,XIANGYANG VIL.
香蕉巷,XIANGJIAO LN.
香蘭村,XIANGLAN VIL.
修仁村,XIUREN VIL.
修正巷,XIUZHENG LN.
修德巷,XIUDE LN.
倉北巷,CANGBEI LN.
倉後巷,CANGHOU LN.
倡和村,CHANGHE VIL.
倡和巷,CHANGHE LN.
凌雲里,LINGYUN VIL.
凌雲巷,LINGYUN LN.
凌霄里,LINGXIAO VIL.
凍頂巷,DONGDING LN.
厝仔巷,CUOZAI LN.
厝後巷,CUOHOU LN.
原子巷,YUANZI LN.
原斗里,YUANDOU VIL.
原佃里,YUANDIAN VIL.
原料巷,YUANLIAO LN.
員山村,YUANSHAN VIL.
員山里,YUANSHAN VIL.
員山巷,YUANSHAN LN.
員仁里,YUANREN VIL.
員本里,YUANBEN VIL.
員貝村,YUANBEI VIL.
員林村,YUANLIN VIL.
員林里,YUANLIN VIL.
員信里,YUANXIN VIL.
員崠里,YUANDONG VIL.
員富里,YUANFU VIL.
員福里,YUANFU VIL.
員潭里,YUANTAN VIL.
哨船頭里,SHAOCHUANTOU VIL.
唐莊巷,TANGZHUANG LN.
埒內里,LENEI VIL.
埔子村,PUZI VIL.
埔子里,PUZI VIL.
埔中村,PUZHONG VIL.
埔中巷,PUZHONG LN.
埔心村,PUXIN VIL.
埔心里,PUXIN VIL.
埔北村,PUBEI VIL.
埔圳巷,PUZUN LN.
埔尾村,PUWEI VIL.
埔尾巷,PUWEI LN.
埔和村,PUHE VIL.
埔坪里,PUPING VIL.
埔前里,PUQIAN VIL.
埔南村,PUNAN VIL.
埔南巷,PUNAN LN.
埔姜村,PUJIANG VIL.
埔崙村,PULUN VIL.
埔崙里,PULUN VIL.
埔頂里,PUDING VIL.
埔頂巷,PUDING LN.
埔園里,PUYUAN VIL.
埔新里,PUXIN VIL.
埔腳巷,PUJIAO LN.
埔墘村,PUQIAN VIL.
埔墘里,PUQIAN VIL.
埔頭里,PUTOU VIL.
埔鹽村,PUYAN VIL.
夏田里,XIATIAN VIL.
孫厝里,SUNCUO VIL.
宮口巷,GONGKOU LN.
宮北里,GONGBEI VIL.
宮前村,GONGQIAN VIL.
宮南巷,GONGNAN LN.
宮後一巷,GONGHOU 1ST LN.
宮後二巷,GONGHOU 2ND LN.
宮後村,GONGHOU VIL.
宮後巷,GONGHOU LN.
宮邊巷,GONGBIAN LN.
家和巷,JIAHE LN.
家福里,JIAFU VIL.
家興里,JIAXING VIL.
射寮村,SHELIAO VIL.
展南一巷,ZHANNAN 1ST LN.
展南二巷,ZHANNAN 2ND LN.
展南三巷,ZHANNAN 3RD LN.
展望一巷,ZHANWANG 1ST LN.
展望二巷,ZHANWANG 2ND LN.
展望三巷,ZHANWANG 3RD LN.
展望巷,ZHANWANG LN.
峨眉村,EMEI VIL.
峰山里,FENGSHAN VIL.
峰生巷,FENGSHENG LN.
峰西巷,FENGXI LN.
峰廷里,FENGTING VIL.
峰谷里,FENGGU VIL.
峰南里,FENGNAN VIL.
崁下巷,KANXIA LN.
崁前里,KANQIAN VIL.
崁後里,KANHOU VIL.
崁頂村,KANDING VIL.
崁頂里,KANDING VIL.
崁頂巷,KANDING LN.
崁腳村,KANJIAO VIL.
崁腳里,KANJIAO VIL.
崁腳巷,KANJIAO LN.
崁頭里,KANTOU VIL.
師校巷,SHIXIAO LN.
庫房巷,KUFANG LN.
恭敬里,GONGJING VIL.
振成里,ZHENCHENG VIL.
振昌巷,ZHENCHANG LN.
振華里,ZHENHUA VIL.
振華巷,ZHENHUA LN.
振業巷,ZHENYE LN.
振義里,ZHENYI VIL.
振農巷,ZHENNONG LN.
振寮里,ZHENLIAO VIL.
振興一巷,ZHENXING 1ST LN.
振興村,ZHENXING VIL.
振興里,ZHENXING VIL.
振興巷,ZHENXING LN.
振豐村,ZHENFENG VIL.
挹秀里,YIXIU VIL.
料羅里,LIAOLUO VIL.
時裡里,SHILI VIL.
時潮村,SHICHAO VIL.
晉江里,JINJIANG VIL.
書院里,SHUYUAN VIL.
朗島村,LANGDAO VIL.
柴西巷,CHAIXI LN.
柴林村,CHAILIN VIL.
柴埕里,CHAICHENG VIL.
柴橋里,CHAIQIAO VIL.
柴橋巷,CHAIQIAO LN.
栗林村,LILIN VIL.
栗林里,LILIN VIL.
校舍巷,XIAOSHE LN.
校前巷,XIAOQIAN LN.
校椅里,XIAOYI VIL.
校邊巷,XIAOBIAN LN.
栳寮巷,LAOLIAO LN.
格頭里,GETOU VIL.
桂林二巷,GUILIN 2ND LN.
桂林三巷,GUILIN 3RD LN.
桂林四巷,GUILIN 4TH LN.
桂林村,GUILIN VIL.
桂林里,GUILIN VIL.
桂花巷,GUIHUA LN.
桃山村,TAOSHAN VIL.
桃山巷,TAOSHAN LN.
桃米里,TAOMI VIL.
桃米巷,TAOMI LN.
桃園巷,TAOYUAN LN.
桃源村,TAOYUAN VIL.
桃源里,TAOYUAN VIL.
案山里,ANSHAN VIL.
桐林里,TONGLIN VIL.
桐寮里,TONGLIAO VIL.
桑原巷,SANGYUAN LN.
泰山一巷,TAISHAN 1ST LN.
泰山七巷,TAISHAN 7TH LN.
泰山九巷,TAISHAN 9TH LN.
泰山二巷,TAISHAN 2ND LN.
泰山三巷,TAISHAN 3RD LN.
泰山村,TAISHAN VIL.
泰山里,TAISHAN VIL.
泰山巷,TAISHAN LN.
泰友里,TAIYOU VIL.
泰平里,TAIPING VIL.
泰平巷,TAIPING LN.
泰田里,TAITIAN VIL.
泰安村,TAI’AN VIL.
泰安里,TAI’AN VIL.
泰安巷,TAI’AN LN.
泰和村,TAIHE VIL.
泰和里,TAIHE VIL.
泰昌里,TAICHANG VIL.
泰武村,TAIWU VIL.
泰源村,TAIYUAN VIL.
泰興里,TAIXING VIL.
泰豐里,TAIFENG VIL.
浦山里,PUSHAN VIL.
浩然里,HAORAN VIL.
浮圳村,FUZUN VIL.
浮圳里,FUZUN VIL.
浮圳南巷,FUZUN S. LN.
浮圳巷,FUZUN LN.
浮洲里,FUZHOU VIL.
浮崙巷,FULUN LN.
浮景巷,FUJING LN.
海口村,HAIKOU VIL.
海口里,HAIKOU VIL.
海山里,HAISHAN VIL.
海北村,HAIBEI VIL.
海光里,HAIGUANG VIL.
海西里,HAIXI VIL.
海佃里,HAIDIAN VIL.
海尾村,HAIWEI VIL.
海尾里,HAIWEI VIL.
海尾巷,HAIWEI LN.
海岸里,HAI’AN VIL.
海東里,HAIDONG VIL.
海南村,HAINAN VIL.
海南里,HAINAN VIL.
海洋里,HAIYANG VIL.
海風里,HAIFENG VIL.
海埔仔巷,HAIPUZAI LN.
海埔村,HAIPU VIL.
海埔里,HAIPU VIL.
海埔巷,HAIPU LN.
海勝里,HAISHENG VIL.
海湖里,HAIHU VIL.
海墘里,HAIQIAN VIL.
海寧巷,HAINING LN.
海端村,HAIDUAN VIL.
海寮里,HAILIAO VIL.
海澄里,HAICHENG VIL.
海頭里,HAITOU VIL.
海濱里,HAIBIN VIL.
海濱巷,HAIBIN LN.
海豐村,HAIFENG VIL.
海豐里,HAIFENG VIL.
海瀛村,HAIYING VIL.
海關巷,HAIGUAN LN.
海寶里,HAIBAO VIL.
浸水里,JINSHUI VIL.
烏土巷,WUTU LN.
烏山巷,WUSHAN LN.
烏日里,WURI VIL.
烏石巷,WUSHI LN.
烏竹里,WUZHU VIL.
烏來里,WULAI VIL.
烏林里,WULIN VIL.
烏眉里,WUMEI VIL.
烏崁里,WUKAN VIL.
烏麻村,WUMA VIL.
烏勢巷,WUSHI LN.
烏塗村,WUTU VIL.
烏塗里,WUTU VIL.
烏樹里,WUSHU VIL.
烏樹林里,WUSHULIN VIL.
烏龍村,WULONG VIL.
烘內里,HONGNEI VIL.
特一巷,TE 1ST LN.
珠沙里,ZHUSHA VIL.
珠格里,ZHUGE VIL.
珠崙巷,ZHULUN LN.
珠螺村,ZHULUO VIL.
琉球里,LIUQIU VIL.
留侯里,LIUHOU VIL.
益源巷,YIYUAN LN.
真砂里,ZHENSHA VIL.
真理里,ZHENLI VIL.
祐民巷,YOUMIN LN.
祖田里,ZUTIAN VIL.
神山巷,SHENSHAN LN.
神木村,SHENMU VIL.
神木巷,SHENMU LN.
神岡里,SHENGANG VIL.
神洲里,SHENZHOU VIL.
神洲巷,SHENZHOU LN.
神農里,SHENNONG VIL.
神農巷,SHENNONG LN.
站舍巷,ZHANSHE LN.
站前巷,ZHANQIAN LN.
站後巷,ZHANHOU LN.
粉寮巷,FENLIAO LN.
純翠里,CHUNCUI VIL.
翁子里,WENGZI VIL.
翁明里,WENGMING VIL.
翁社里,WENGSHE VIL.
翁園里,WENGYUAN VIL.
耆老村,QILAO VIL.
茭白里,JIAOBAI VIL.
茶山村,CHASHAN VIL.
茶園巷,CHAYUAN LN.
草山村,CAOSHAN VIL.
草山里,CAOSHAN VIL.
草山巷,CAOSHAN LN.
草中里,CAOZHONG VIL.
草中巷,CAOZHONG LN.
草仔埤巷,CAOZAIPI LN.
草江里,CAOJIANG VIL.
草里里,CAOLI VIL.
草店尾一橫巷,CAODIANWEI 1ST SIDE LN.
草店尾二橫巷,CAODIANWEI 2ND SIDE LN.
草店里,CAODIAN VIL.
草東里,CAODONG VIL.
草埔一巷,CAOPU 1ST LN.
草埔七巷,CAOPU 7TH LN.
草埔三巷,CAOPU 3RD LN.
草埔六巷,CAOPU 6TH LN.
草埔村,CAOPU VIL.
草港巷,CAOGANG LN.
草湖村,CAOHU VIL.
草湖里,CAOHU VIL.
草湳里,CAONAN VIL.
草新里,CAOXIN VIL.
草衙三巷,CAOYA 3RD LN.
草衙里,CAOYA VIL.
草衙巷,CAOYA LN.
草漯里,CAOTA VIL.
草嶺村,CAOLING VIL.
草嶺巷,CAOLING LN.
荔宅里,LIZHAI VIL.
荖阡里,LAOQIAN VIL.
荖濃里,LAONONG VIL.
荖藤里,LAOTENG VIL.
蚊港村,WENGANG VIL.
訊塘里,XUNTANG VIL.
貢旗一巷,GONGQI 1ST LN.
貢旗二巷,GONGQI 2ND LN.
貢旗村,GONGQI VIL.
貢寮里,GONGLIAO VIL.
迴龍里,HUILONG VIL.
郡王里,JUNWANG VIL.
郡西里,JUNXI VIL.
郡坑村,JUNKENG VIL.
郡坑巷,JUNKENG LN.
郡南里,JUNNAN VIL.
酒泉一橫巷,JIUQUAN 1ST SIDE LN.
酒泉巷,JIUQUAN LN.
酒寮巷,JIULIAO LN.
陝西村,XIAXI VIL.
馬士巷,MASHI LN.
馬兒村,MA’ER VIL.
馬兒巷,MA’ER LN.
馬厝巷,MACUO LN.
馬祖村,MATSU VIL.
馬路巷,MALU LN.
馬遠村,MAYUAN VIL.
馬鳴村,MAMING VIL.
馬鳴里,MAMING VIL.
馬興村,MAXING VIL.
