vil_zh,vil_en
上林村,SHANGLIN VIL.
上林里,SHANGLIN VIL.
上前巷,SHANGQIAN LN.
上城里,SHANGCHENG VIL.
上洲里,SHANGZHOU VIL.
上苗里,SHANGMIAO VIL.
上厝巷,SHANGCUO LN.
上埔里,SHANGPU VIL.
上海巷,SHANGHAI LN.
上埤巷,SHANGPI LN.
上崙里,SHANGLUN VIL.
上湖里,SHANGHU VIL.
上華里,SHANGHUA VIL.
上雅里,SHANGYA VIL.
上新里,SHANGXIN VIL.
上楓里,SHANGFENG VIL.
上溪里,SHANGXI VIL.
上福村,SHANGFU VIL.
上寮里,SHANGLIAO VIL.
上寮巷,SHANGLIAO LN.
上德里,SHANGDE VIL.
上樹村,SHANGSHU VIL.
上興里,SHANGXING VIL.
上館里,SHANGGUAN VIL.
上豐村,SHANGFENG VIL.
下山村,XIASHAN VIL.
下中里,XIAZHONG VIL.
下田里,XIATIAN VIL.
下宅巷,XIAZHAI LN.
下庄巷,XIAZHUANG LN.
下竹里,XIAZHU VIL.
下坑村,XIAKENG VIL.
下坑里,XIAKENG VIL.
下坑巷,XIAKENG LN.
下角巷,XIAJIAO LN.
下坪里,XIAPING VIL.
下林里,XIALIN VIL.
下城一巷,XIACHENG 1ST LN.
下城二巷,XIACHENG 2ND LN.
下城里,XIACHENG VIL.
下柑一巷,XIAGAN 1ST LN.
下柑二巷,XIAGAN 2ND LN.
下柑三巷,XIAGAN 3RD LN.
下柑四巷,XIAGAN 4TH LN.
下厝巷,XIACUO LN.
下埔村,XIAPU VIL.
下埔里,XIAPU VIL.
下埔巷,XIAPU LN.
下罟里,XIAGU VIL.
下埤里,XIAPI VIL.
下崙村,XIALUN VIL.
下犁村,XIALI VIL.
下部里,XIABU VIL.
下麻村,XIAMA VIL.
下揖村,XIAYI VIL.
下湖里,XIAHU VIL.
下湖巷,XIAHU LN.
下湳里,XIANAN VIL.
下湳巷,XIANAN LN.
下街里,XIAJIE VIL.
下新里,XIAXIN VIL.
下溪里,XIAXI VIL.
下溪巷,XIAXI LN.
下福里,XIAFU VIL.
下寮村,XIALIAO VIL.
下寮里,XIALIAO VIL.
下寮巷,XIALIAO LN.
下潭村,XIATAN VIL.
下樹巷,XIASHU LN.
下橋一巷,XIAQIAO 1ST LN.
下橋二巷,XIAQIAO 2ND LN.
下橋三巷,XIAQIAO 3RD LN.
下橋五巷,XIAQIAO 5TH LN.
下橋六巷,XIAQIAO 6TH LN.
下橋四巷,XIAQIAO 4TH LN.
下興里,XIAXING VIL.
下營里,XIAYING VIL.
下灣巷,XIAWAN LN.
丸山村,WANSHAN VIL.
久安里,JIU’AN VIL.
久昌里,JIUCHANG VIL.
久堂里,JIUTANG VIL.
久愛村,JIU’AI VIL.
千北里,QIANBEI VIL.
千甲里,QIANJIA VIL.
千秋里,QIANQIU VIL.
千歲一巷,QIANSUI 1ST LN.
千歲二巷,QIANSUI 2ND LN.
千歲里,QIANSUI VIL.
口社村,KOUSHE VIL.
口湖村,KOUHU VIL.
口寮巷,KOULIAO LN.
土牛里,TUNIU VIL.
土角巷,TUJIAO LN.
土板村,TUBAN VIL.
