food_id,f_name,county,address,rate,geo_loc,gmaps_url,f_type,comm,area
318f6ee0-4cc3-487b-907c-f61d2ee9db41,源元發飲食店,桃園市,桃園市復興區中正路138之1號號,3.8,POINT(24.81828 121.35178),https://www.google.com/maps/place/?q=place_id:ChIJc71x_NQWaDQR0Gwh_ynR2KY,餐廳,289,復興區
2fe8d546-9ffa-4fe6-af04-a34ff8a00e6b,貝里斯義大利麵,桃園市,桃園市桃園區建國路68號,4.0,POINT(24.98590 121.31586),https://www.google.com/maps/place/?q=place_id:ChIJ3zpHl_0eaDQRjkESkRw8q8k,餐廳,611,桃園區
54780bfb-34f8-40df-a637-b4eb669c7d26,好時節休閒農場 ,桃園市,桃園市大溪區康莊路三段225號,4.2,POINT(24.85428 121.28215),https://www.google.com/maps/place/?q=place_id:ChIJb-4jX-oXaDQRy66ifyq3-2Y,餐廳,1821,大溪區
b9e2ac8a-bf03-409d-a8d3-b9d7af926077,老阿伯現滷豆干,桃園市,桃園市大溪區中正路37號,4.0,POINT(24.88293 121.28626),https://www.google.com/maps/place/?q=place_id:ChIJuwRV3SEYaDQRiEQnq6NCVw4,餐廳,9391,大溪區
f99756b5-ee81-49dd-9832-619a26e86d18,基隆全家福海鮮餐廳 大溪分店,桃園市,桃園市大溪區瑞安路一段308號,4.0,POINT(24.88506 121.28017),https://www.google.com/maps/place/?q=place_id:ChIJh35SqR4YaDQRyZ0M4U8Q3WE,餐廳,672,大溪區
f00200db-10b0-4e29-bd91-e247e09153ba,廖心蘭豆乾-和平老街總店,桃園市,桃園市大溪區和平路41號,4.3,POINT(24.88488 121.28787),https://www.google.com/maps/place/?q=place_id:ChIJIf5LMSIYaDQRtAhKBKLGvzA,餐廳,299,大溪區
7601f887-27f4-4d94-978b-0934cd7a00be,CAFE!N 硬咖啡 桃園總廠門市 ( DICKIES 聯名咖啡觀光工廠 ),桃園市,桃園市平鎮區工業五路8號,4.4,POINT(24.90229 121.19799),https://www.google.com/maps/place/?q=place_id:ChIJhZATXjQjaDQRED0CIY3tQCE,咖啡廳,1810,平鎮區
c7d4d418-bb4a-4b57-b529-117b8c050b51,大公雞烤雞燉雞,桃園市,桃園市中壢區中正路308號,4.0,POINT(24.95538 121.21790),https://www.google.com/maps/place/?q=place_id:ChIJVaGmJEsiaDQRt9ky68wmZe8,餐廳,200,中壢區
c6f8ab13-686b-48be-b612-4d67a722f58f,塩Way義式餐坊,桃園市,桃園市中壢區崁頂路1025巷1之1號,4.4,POINT(24.95077 121.26649),https://www.google.com/maps/place/?q=place_id:ChIJWb40EqEYaDQRq-ONaTL2Plg,餐廳,819,中壢區
d8e72a8d-c7f9-4b00-b579-7471e9cc4681,大窯大擺窯烤披薩 桃園總店(2025,桃園市,桃園市桃園區南通路81號,4.6,POINT(25.02022 121.30484),https://www.google.com/maps/place/?q=place_id:ChIJXb5-T7QfaDQRMRN0HPHW0dc,餐廳,650,桃園區
4fdc7210-33be-43cc-b89e-97205d0e859e,微笑的光 咖啡館中壢店,桃園市,桃園市中壢區南園二路388號,4.4,POINT(24.97169 121.22601),https://www.google.com/maps/place/?q=place_id:ChIJO3ddIy8iaDQRi3TKAsKYoRM,餐廳,457,中壢區
