title,free,from_price,date,image_url,event_url,event_id,address,location,lng,lat
高雄 | 高雄《哈利波特》快閃店｜統一時代百貨高雄店,True,,4月23日(週三) - 6月9日(週一),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744956650/events_admin/vmevtbc5ttnfe0fts5ia.jpg",https://www.klook.com/zh-TW/event-detail/101029312-2025-harry-potter-kaohsiung/,101029312,,,,
台北 | 丁噹小巨蛋演唱會2025｜丁噹Della 《夜遊 A Night Tour》小巨蛋夜未眠巡迴演唱會｜台北小巨蛋,False,HK$ 206,11月15日(週六),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1744953119/events_admin/pbm1gmrbywrpcwan4rtk.jpg",https://www.klook.com/zh-TW/event-detail/101029313-2025-della-concert-taipei/,101029313,,,,
高雄 | 親子音樂劇《阿甯咕又闖禍了YA~》高雄場 (售票中),False,HK$ 257,6月28日(週六) - 6月29日(週日),"https://res.klook.com/image/upload/x_0,y_0,w_326,h_456,c_crop/v1744886473/events_admin/tswmiuzhvuxavax7djw1.jpg",https://www.klook.com/zh-TW/event-detail/101029304-2025-a-nee-gu-musical/,101029304,,,,
台中 | 放肆夜 戶外電影《喵喵博物館》,True,,8月21日(週四),"https://res.klook.com/image/upload/x_0,y_69,w_1080,h_1512,c_crop/v1744872082/events_admin/zoqn7jy2mtn13esoruhl.jpg",https://www.klook.com/zh-TW/event-detail/101029302-2025-ntt-movie-night/,101029302,,,,
台中 | 放肆夜 戶外電影《再見機器人》,True,,7月31日(週四),"https://res.klook.com/image/upload/x_0,y_69,w_1080,h_1512,c_crop/v1744871872/events_admin/azvaac874rwjos3pqrmx.jpg",https://www.klook.com/zh-TW/event-detail/101029301-2025-ntt-movie-night/,101029301,,,,
台中 | 放肆夜 戶外電影《北齋：浮世繪傳奇》,True,,5月22日(週四),"https://res.klook.com/image/upload/x_0,y_69,w_1080,h_1512,c_crop/v1744871619/events_admin/i9ndjkhkxtqpppemiqqo.jpg",https://www.klook.com/zh-TW/event-detail/101029300-2025-ntt-movie-night/,101029300,,,,
台中 | 放肆夜 戶外電影《大師之眼—從安東尼奧尼到伍迪艾倫》,True,,6月19日(週四),"https://res.klook.com/image/upload/x_0,y_76,w_1080,h_1512,c_crop/v1744870919/events_admin/tieyp8o4hfivc62q1ebo.jpg",https://www.klook.com/zh-TW/event-detail/101029299-2025-ntt-movie-night/,101029299,,,,
台北 | 等家寶寶第4屆圓夢計畫 —夢想搜查超展開,True,,8月5日(週二) - 8月16日(週六),"https://res.klook.com/image/upload/x_6,y_0,w_300,h_420,c_crop/v1744796775/events_admin/adrpevgw4xsounhogcsz.jpg",https://www.klook.com/zh-TW/event-detail/101029298-2025-taipei-exhibition/,101029298,,,,
台北 | 麗山巖陶展 林美雅 蔡佶辰 蔡尚承,True,,5月16日(週五) - 5月30日(週五),"https://res.klook.com/image/upload/x_7,y_0,w_514,h_720,c_crop/v1744779710/events_admin/rr85e9xhubsn0ot3ueiv.jpg",https://www.klook.com/zh-TW/event-detail/101029239-2025-art-exhibition-taipei/,101029239,,,,
台中 | 《存在的錯位 #Real ME》探討當代社群時代的荒謬與怪誕,True,,2025年4月11日(週五) - 2026年6月30日(週二),"https://res.klook.com/image/upload/x_0,y_18,w_2480,h_3472,c_crop/v1744615394/events_admin/gexkvp3ghx7pcg3rw2a3.jpg",https://www.klook.com/zh-TW/event-detail/101029275-2025-real-me-exhibition/,101029275,,,,
台北 | 郭靜演唱會2025｜郭靜 2025 天亮之前 演唱會｜Legacy Taipei,False,HK$ 509,6月21日(週六),"https://res.klook.com/image/upload/x_64,y_0,w_1071,h_1500,c_crop/v1744945397/events_admin/zjef4ko0rq18iyi9fdse.jpg",https://www.klook.com/zh-TW/event-detail/101029308-2025-claire-concert-taipei/,101029308,,,,
台北 | 鏈鋸人動畫展 台北站,False,HK$ 93,5月11日(週日) - 6月8日(週日),https://res.klook.com/image/upload/展期_klook_展演頁面活動首圖_jcqrdj.jpg,https://www.klook.com/zh-TW/activity/152944-chainsaw-man-anime-exhibition-taipei-stop/,101029306,,,,
台北 | 台北展覽｜2025 救援小英雄波力特展,False,HK$ 39,5月11日(週日) - 6月15日(週日),https://res.klook.com/image/upload/官網_RE2_寬540-高540_ieqph8.jpg,https://www.klook.com/zh-TW/activity/152851-taipei-exhibition-2025-rescue-hero-polly-special-exhibition/,101029305,,,,
臺東縣 | 2025 阿米斯音樂節  Amis Music Festival,False,HK$ 598,11月8日(週六) - 11月9日(週日),"https://res.klook.com/image/upload/x_0,y_4,w_679,h_951,c_crop/v1744291005/events_admin/u4ckgatmrdardqzwp8os.jpg",https://www.klook.com/zh-TW/event-detail/102000529-amis-music-festival/,102000529,,,,
